coil current (A), R1 (m), R2(m), theta(rad)
100.000,14.875755,9.270487,1.034767
100.000,7.308136,41.390831,0.796340
100.000,11.713047,8.198990,0.961173
100.000,13.372409,2.845683,0.904151
100.000,7.951170,3.632855,1.017115
100.000,15.825690,5.028014,0.804359
100.000,8.461418,6.447303,0.881286
100.000,11.839795,17.982641,0.993278
100.000,13.429047,10.694233,1.016071
100.000,5.580116,9.485977,0.875386
100.000,11.364212,13.908647,1.007512
100.000,12.713110,6.668651,0.813291
100.000,8.071477,21.862190,1.022265
100.000,5.349637,5.947951,0.897230
100.000,11.052563,12.794281,0.793622
100.000,8.082471,28.035672,0.789852
100.000,6.146047,28.603137,1.025041
100.000,11.095571,14.706200,1.017121
100.000,8.545078,13.710142,1.002123
100.000,15.322728,10.070093,0.864013
100.000,10.346121,13.313128,0.854261
100.000,11.359791,3.898607,0.971288
100.000,9.006109,11.021516,1.038274
100.000,15.501221,3.977952,0.959926
100.000,9.367080,16.702016,1.043292
100.000,10.034669,12.846982,0.943702
100.000,12.462816,3.265579,0.984734
100.000,15.058455,17.748112,0.860420
100.000,10.790871,25.640757,0.813407
100.000,13.227750,4.675388,0.948671
100.000,12.941200,5.379407,0.841212
100.000,11.627612,13.129424,1.023683
100.000,5.052686,38.194807,0.961873
100.000,9.175889,10.399146,0.983794
100.000,5.024423,24.781085,0.969133
100.000,10.331720,3.152345,1.067197
100.000,10.673281,15.674177,0.902522
100.000,9.568539,24.392541,0.934312
100.000,12.560462,15.573574,0.890697
100.000,11.939574,8.320433,1.016803
100.000,13.298034,11.084897,0.911393
100.000,15.871193,14.538036,0.875740
100.000,5.527021,18.804955,0.866351
100.000,12.008437,20.635344,0.838316
100.000,11.617518,10.325291,0.915049
100.000,9.476436,14.926090,0.992436
100.000,14.299335,6.777560,0.842117
100.000,14.281409,3.114600,0.914618
100.000,10.612615,18.308518,0.866737
100.000,6.842644,8.013284,0.830995
100.000,6.585312,17.596810,0.888802
100.000,13.156652,15.437871,0.896946
100.000,13.222961,9.635873,0.918837
100.000,9.419565,24.334486,0.870594
100.000,8.447632,23.823393,0.792511
100.000,14.377625,18.545840,0.832378
100.000,14.412199,19.059686,0.846426
100.000,7.693125,22.893194,1.044767
100.000,6.699022,38.238213,0.826808
100.000,14.062491,7.172735,1.050446
100.000,5.246649,28.140523,0.857781
100.000,15.105713,16.238091,0.908888
100.000,8.906900,2.943587,1.021932
100.000,7.862471,12.912318,0.942818
100.000,12.052580,10.935225,0.941091
100.000,10.198672,22.975066,0.842223
